web-scraper-order,web-scraper-start-url,pagination,appartment-link,appartment-link-href,title,location,price,image-src
"1676983025-181","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 2+kt 58 m²","https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vysocany-/3556099916","For sale apartment 2+kt 58 m²","Praha 9 - Vysočany","7 290 000 CZK","https://d18-a.sdn.cz/d_18/c_img_gX_p/fbnntS.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983029-182","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 4+kt 124 m²","https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-smichov-na-hrebenkach/3389986636","For sale apartment 4+kt 124 m²","Na Hřebenkách, Praha - Smíchov","Information about price at agency","https://d18-a.sdn.cz/d_18/c_img_gY_p/eJUBCjJ.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983031-183","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 4+kt 107 m²","https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-vinohrady-/3188635468","For sale apartment 4+kt 107 m²","Praha 2 - Vinohrady","18 500 000 CZK","https://d18-a.sdn.cz/d_18/c_img_gX_o/Rm0Dqr.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983033-184","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 3+kt 102 m² (Mezonet)","https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-stodulky-/2351821900","For sale apartment 3+kt 102 m² (Mezonet)","Praha 5 - Stodůlky","15 800 000 CZK","https://d18-a.sdn.cz/d_18/c_img_gT_s/pAWBE2e.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983035-185","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 3+1 138 m²","https://www.sreality.cz/en/detail/sale/flat/3+1/praha-nove-mesto-/2021708876","For sale apartment 3+1 138 m²","Praha 1 - Nové Město","19 950 000 CZK","https://d18-a.sdn.cz/d_18/c_img_QI_Ja/o2RBv8i.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983037-186","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 5+kt 223 m²","https://www.sreality.cz/en/detail/sale/flat/5+kt/praha-smichov-/1789973580","For sale apartment 5+kt 223 m²","Praha 5 - Smíchov","41 500 000 CZK","https://d18-a.sdn.cz/d_18/c_img_gR_s/2jjrbM.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983040-187","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 3+kt 66 m²","https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-vysehrad-/1275545420","For sale apartment 3+kt 66 m²","Praha 2 - Vyšehrad","Information about price at agency","https://d18-a.sdn.cz/d_18/c_img_QL_Jx/VQrnkx.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983042-188","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 2+kt 49 m²","https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-stare-mesto-/532703052","For sale apartment 2+kt 49 m²","Praha 1 - Staré Město","Information about price at agency","https://d18-a.sdn.cz/d_18/c_img_QQ_LV/OLCZPX.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983044-189","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 5+kt 167 m²","https://www.sreality.cz/en/detail/sale/flat/5+kt/praha-bubenec-/191292492","For sale apartment 5+kt 167 m²","Praha 7 - Bubeneč","Information about price at agency","https://d18-a.sdn.cz/d_18/c_img_gZ_r/iooBTRp.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983046-190","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 4+1 175 m²","https://www.sreality.cz/en/detail/sale/flat/4+1/praha-stare-mesto-/3695952972","For sale apartment 4+1 175 m²","Praha 1 - Staré Město","Information about price at agency","https://d18-a.sdn.cz/d_18/c_img_gR_s/2OBzvv.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
"1676983048-191","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&without-auction=1","https://www.sreality.cz/en/search/for-sale/apartments?no_shares=1&page=10&without-auction=1","For sale apartment 2+kt 91 m² (Mezonet)","https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vinohrady-/1762247756","For sale apartment 2+kt 91 m² (Mezonet)","Praha 1 - Vinohrady","12 460 000 CZK","https://d18-a.sdn.cz/d_18/c_img_QO_Ks/hpep6f.jpeg?fl=res,749,562,3|wrm,/watermark/sreality.png,10|shr,,20|jpg,90"
